Date,Price,Year,Month,Day,MeanWeek,EMA_7,EMA_30,Time
2000-01-12,49.61,2000,1,12,65.65,59.86902587890624,71.73881488126837,80.6168473599819
2000-01-13,84.32,2000,1,13,61.52571428571429,65.98176940917968,72.55050424376718,65.35829052190446
2000-01-14,80.55,2000,1,14,63.30857142857143,69.62382705688476,73.0666007441693,50.433169760078634
2000-01-18,80.94,2000,1,18,64.42571428571429,72.45287029266358,73.57456198648097,6.310106870568354
2000-01-19,82.12,2000,1,19,66.32428571428571,74.86965271949768,74.12588056799834,1.5949534979663815
2000-01-20,80.2,2000,1,20,69.53285714285714,76.20223953962326,74.5177592410307,0.0
2000-01-21,79.33,2000,1,21,72.95285714285714,76.98417965471745,74.82822638677067,1.5949534979663815
2000-01-24,79.85,2000,1,24,76.7242857142857,77.70063474103809,75.15221178117257,24.14935267883091
2000-01-25,79.87,2000,1,25,81.0442857142857,78.24297605577857,75.45658521464532,36.49378447047161
2000-01-26,80.95,2000,1,26,80.40857142857143,78.91973204183392,75.81099907176497,50.433169760078634
2000-01-27,80.74,2000,1,27,80.46571428571428,79.37479903137545,76.1289991316511,65.35829052190448
2000-01-28,80.87,2000,1,28,80.43714285714285,79.74859927353158,76.43487015541555,80.61684735998183
2000-01-31,78.73,2000,1,31,80.25857142857141,79.4939494551487,76.58294304861455,121.82578520305547
2000-02-02,79.75,2000,2,2,80.04857142857144,79.55796209136152,76.78726930354264,145.5753043424125
2000-02-03,73.96,2000,2,3,80.10857142857142,78.15847156852114,76.60486483234634,145.57530434241252
2000-02-05,71.75,2000,2,5,79.26714285714286,76.55635367639086,76.2916477463885,136.19665780426806
2000-02-06,67.81,2000,2,6,78.10714285714286,74.36976525729314,75.74444466597635,127.22790312357968
2000-02-08,59.98,2000,2,8,76.23,70.77232394296986,74.72738371978433,102.67428771824594
2000-02-10,56.49,2000,2,10,73.26428571428572,67.2017429572274,73.55077831850792,72.98756894094319
2000-02-11,53.21,2000,2,11,69.78142857142856,63.70380721792055,72.23847003989452,57.81260007375393
2000-02-14,76.22,2000,2,14,66.13571428571429,66.83285541344041,72.4953429405465,18.747234758306696
2000-02-15,76.58,2000,2,15,65.63142857142857,69.2696415600803,72.75886920244672,9.77848007761832
2000-02-16,76.8,2000,2,16,66.00571428571429,71.15223117006023,73.0195873184179,3.5722658911174108
2000-02-17,76.75,2000,2,17,66.72714285714285,72.55167337754517,73.26025910432644,0.3998335394738534
2000-02-18,75.81,2000,2,18,68.00428571428571,73.36625503315888,73.42475851695055,0.3998335394738453
2000-02-22,73.87,2000,2,22,70.26571428571428,73.49219127486916,73.45348377392148,30.08655231677655
2000-02-23,73.77,2000,2,23,72.74857142857142,73.56164345615187,73.47390417560398,43.30085016364041
2000-02-24,72.37,2000,2,24,75.6857142857143,73.26373259211391,73.40268455137146,57.81260007375387
2000-02-25,70.67,2000,2,25,75.13571428571429,72.61529944408544,73.22638232225073,72.98756894094316
2000-02-28,71.16,2000,2,28,74.29142857142857,72.25147458306407,73.09306733371842,115.88858556510976
2000-02-29,71.0,2000,2,29,73.48571428571428,71.93860593729805,72.95803073154305,127.22790312357962
